id,sex,day,es
5,M,0,0
10,F,0,0
2,M,0,0
7,M,0,0
1,F,0,0
9,F,0,0
4,M,0,0
6,M,0,0
8,M,0,0
3,M,0,0
5,M,3,1
10,F,3,0
2,M,3,0
7,M,3,1
1,F,3,0
9,F,3,0
4,M,3,3
6,M,3,0
8,M,3,1
3,M,3,1
5,M,6,2
10,F,6,2
2,M,6,1
7,M,6,4
1,F,6,3
9,F,6,2
4,M,6,5.5
6,M,6,1.5
8,M,6,4
3,M,6,3.5
5,M,9,4.5
10,F,9,2
2,M,9,1
7,M,9,3
1,F,9,4
9,F,9,2
4,M,9,6
6,M,9,1
8,M,9,4
3,M,9,6
5,M,12,5
10,F,12,1.5
2,M,12,0.5
7,M,12,4
1,F,12,2
9,F,12,2.5
4,M,12,6
6,M,12,1
8,M,12,4
3,M,12,4.5
5,M,15,2.5
10,F,15,1
2,M,15,0
7,M,15,1
1,F,15,1
9,F,15,1
4,M,15,4
6,M,15,1.5
8,M,15,4
3,M,15,4
5,M,18,4.5
10,F,18,1
2,M,18,0
7,M,18,0.5
1,F,18,1
9,F,18,0
4,M,18,3
6,M,18,2
8,M,18,4
3,M,18,5.5
5,M,21,1.5
10,F,21,0
2,M,21,0
7,M,21,0
1,F,21,0
9,F,21,0
4,M,21,1
6,M,21,2
8,M,21,3
3,M,21,3
5,M,24,1
10,F,24,0
2,M,24,0
7,M,24,0
1,F,24,0
9,F,24,0
4,M,24,1
6,M,24,2.5
8,M,24,1
3,M,24,3
5,M,27,0
10,F,27,0
2,M,27,0
7,M,27,0
1,F,27,1
9,F,27,0
4,M,27,0
6,M,27,3.5
8,M,27,1
3,M,27,4
