ID,Sex,Treatment,ST,Day,SD,Mass,Fat
LD553,Female,Control,FemaleControl,0,Female0,30.15,3
LD238,Female,Control,FemaleControl,0,Female0,36.48,3
LD578,Female,Control,FemaleControl,0,Female0,18.67,0.5
690,Female,Control,FemaleControl,0,Female0,23.51,2
LD243,Female,Control,FemaleControl,0,Female0,23.35,2
Blue-004,Female,Control,FemaleControl,0,Female0,20.13,1
608,Male,Control,MaleControl,0,Male0,19.02,1
624,Male,Control,MaleControl,0,Male0,19.82,0.5
MK114,Male,Control,MaleControl,0,Male0,25.97,2
630,Male,Control,MaleControl,0,Male0,20.63,1
LD19-211,Male,Control,MaleControl,0,Male0,22.69,1
LD18-202,Male,Control,MaleControl,0,Male0,16.02,0
1217,Female,MG,FemaleMG,0,Female0,23.87,2
SEM 1978,Female,MG,FemaleMG,0,Female0,21.94,1.5
LD586,Female,MG,FemaleMG,0,Female0,22.22,2
LD541,Female,MG,FemaleMG,0,Female0,23.08,2.5
LD584,Female,MG,FemaleMG,0,Female0,20.79,1
LD245,Female,MG,FemaleMG,0,Female0,23.61,1.5
LD19-208,Male,MG,MaleMG,0,Male0,24.46,2
Blue-014,Male,MG,MaleMG,0,Male0,23.36,2
Blue-096,Male,MG,MaleMG,0,Male0,16.78,0.5
LD18-221,Male,MG,MaleMG,0,Male0,14.92,0
Blue-048,Male,MG,MaleMG,0,Male0,21.76,0.5
609,Male,MG,MaleMG,0,Male0,23.52,2
616,Male,MG,MaleMG,0,Male0,20.45,1
LD553,Female,Control,FemaleControl,7,Female7,29.8,3
LD238,Female,Control,FemaleControl,7,Female7,37.1,3
LD578,Female,Control,FemaleControl,7,Female7,18.61,0.5
690,Female,Control,FemaleControl,7,Female7,23.22,2
LD243,Female,Control,FemaleControl,7,Female7,23.81,2
Blue-004,Female,Control,FemaleControl,7,Female7,20.36,1
608,Male,Control,MaleControl,7,Male7,18.97,1
624,Male,Control,MaleControl,7,Male7,16.8,0.5
MK114,Male,Control,MaleControl,7,Male7,26.11,2
630,Male,Control,MaleControl,7,Male7,21.12,1
LD19-211,Male,Control,MaleControl,7,Male7,23.16,1
LD18-202,Male,Control,MaleControl,7,Male7,16.1,0
1217,Female,MG,FemaleMG,7,Female7,21.58,1.5
SEM 1978,Female,MG,FemaleMG,7,Female7,,
LD586,Female,MG,FemaleMG,7,Female7,19.61,2
LD541,Female,MG,FemaleMG,7,Female7,18.26,2
LD584,Female,MG,FemaleMG,7,Female7,17.71,2
LD245,Female,MG,FemaleMG,7,Female7,19.67,2
LD19-208,Male,MG,MaleMG,7,Male7,18.81,1
Blue-014,Male,MG,MaleMG,7,Male7,,
Blue-096,Male,MG,MaleMG,7,Male7,13.3,0
LD18-221,Male,MG,MaleMG,7,Male7,,
Blue-048,Male,MG,MaleMG,7,Male7,19.66,0.5
609,Male,MG,MaleMG,7,Male7,19.78,1
616,Male,MG,MaleMG,7,Male7,16.65,1
LD553,Female,Control,FemaleControl,14,Female14,29.12,3
LD238,Female,Control,FemaleControl,14,Female14,35.47,3
LD578,Female,Control,FemaleControl,14,Female14,17.95,1
690,Female,Control,FemaleControl,14,Female14,23.57,2
LD243,Female,Control,FemaleControl,14,Female14,23.22,2
Blue-004,Female,Control,FemaleControl,14,Female14,20.17,1.5
608,Male,Control,MaleControl,14,Male14,18.79,1
624,Male,Control,MaleControl,14,Male14,20.25,1
