ID,Sex,Treatment,Day ,ES
LD553,Female,Control,1,0
LD238,Female,Control,1,0
LD578,Female,Control,1,0
690,Female,Control,1,0
LD243,Female,Control,1,0
Blue-004,Female,Control,1,0
608,Male,Control,1,0
624,Male,Control,1,0
MK114,Male,Control,1,0
630,Male,Control,1,0
LD19-211,Male,Control,1,0
LD18-202,Male,Control,1,0
1217,Female,MG,1,0
SEM 1978,Female,MG,1,0
LD586,Female,MG,1,0
LD541,Female,MG,1,0
LD584,Female,MG,1,0
LD245,Female,MG,1,0
LD19-208,Male,MG,1,0
Blue-014,Male,MG,1,0
Blue-096,Male,MG,1,0
LD18-221,Male,MG,1,0
Blue-048,Male,MG,1,0
609,Male,MG,1,0
616,Male,MG,1,0
LD553,Female,Control,3,0
LD238,Female,Control,3,0
LD578,Female,Control,3,0
690,Female,Control,3,0
LD243,Female,Control,3,0
Blue-004,Female,Control,3,0
608,Male,Control,3,0
624,Male,Control,3,0
MK114,Male,Control,3,0
630,Male,Control,3,0
LD19-211,Male,Control,3,0
LD18-202,Male,Control,3,0
1217,Female,MG,3,1
SEM 1978,Female,MG,3,0
LD586,Female,MG,3,0
LD541,Female,MG,3,0
LD584,Female,MG,3,0
LD245,Female,MG,3,0
LD19-208,Male,MG,3,0
Blue-014,Male,MG,3,0
Blue-096,Male,MG,3,1
LD18-221,Male,MG,3,0
Blue-048,Male,MG,3,6
609,Male,MG,3,4.5
616,Male,MG,3,5.5
LD553,Female,Control,5,0
LD238,Female,Control,5,0
LD578,Female,Control,5,0
690,Female,Control,5,0
LD243,Female,Control,5,0
Blue-004,Female,Control,5,0
608,Male,Control,5,0
624,Male,Control,5,0
MK114,Male,Control,5,0
630,Male,Control,5,0
LD19-211,Male,Control,5,0
LD18-202,Male,Control,5,0
1217,Female,MG,5,4
SEM 1978,Female,MG,5,0
LD586,Female,MG,5,0
LD541,Female,MG,5,0
LD584,Female,MG,5,2.5
LD245,Female,MG,5,2.5
LD19-208,Male,MG,5,3.5
Blue-014,Male,MG,5,3
Blue-096,Male,MG,5,6
LD18-221,Male,MG,5,0
Blue-048,Male,MG,5,6
609,Male,MG,5,6
616,Male,MG,5,6
LD553,Female,Control,7,0
LD238,Female,Control,7,0
LD578,Female,Control,7,0
690,Female,Control,7,0
LD243,Female,Control,7,0
Blue-004,Female,Control,7,0
608,Male,Control,7,0
624,Male,Control,7,0
MK114,Male,Control,7,0
630,Male,Control,7,0
LD19-211,Male,Control,7,0
LD18-202,Male,Control,7,0
1217,Female,MG,7,6
SEM 1978,Female,MG,7,
LD586,Female,MG,7,0
LD541,Female,MG,7,1
LD584,Female,MG,7,2
LD245,Female,MG,7,4.5
